student_id,age,gender,city,course_stream,study_hours_per_week,attendance_rate,prior_gpa_10pt,has_internet,device_type,parental_education,test_score,admission_date,fee_paid_inr,scholarship,comments
s0001,24,female,mumbai,mca,11.2,46.2,6.88,nan,nan,phd,58.4,2023-08-11,63952.0,partial,nan
s0002,21,nan,mumbai,bba,14.9,64.3,5.87,no,mobile,nan,85.8,,62085.0,yes,late enrollment
s0003,24,female,bengaluru,nan,13.4,57.7,,no,tablet,nan,89.3,,55598.0,yes,transferred from another program
s0004,28,female,remote,me,8.9,64.6,7.27,no,laptop,undergrad,59.4,2024-02-02,54627.0,partial,good coder
s0005,21,male,bengaluru,ee,11.0,52.2,7.22,nan,desktop,phd,55.5,,,no,nan
s0006,21,male,bengaluru,mca,9.5,98.4,7.17,no,tablet,high school,75.1,,69382.0,nan,good coder
s0007,120,female,delhi,mca,9.1,80.6,7.44,yes,laptop,undergrad,,,64349.0,no,needs scholarship support
s0008,25,male,pune,me,16.2,85.7,7.03,yes,tablet,nan,77.5,,57035.0,no,prefers evening classes
s0009,20,male,remote,nan,13.8,92.4,6.51,yes,laptop,nan,71.0,2025-03-05,66174.0,no,late enrollment
s0010,24,nan,kolkata,nan,8.5,74.9,6.54,nan,mobile,postgrad,45.3,,37212.0,no,nan
s0011,20,male,chennai,bba,16.5,50.2,7.16,no,laptop,high school,91.2,,69190.0,nan,transferred from another program
s0012,20,nan,mumbai,mca,13.5,77.2,6.55,nan,laptop,phd,94.9,,46082.0,yes,nan
s0013,23,male,kolkata,nan,16.1,80.2,6.34,yes,desktop,high school,58.8,2023-11-08,57100.0,nan,nan
s0014,16,nan,mumbai,cs,15.1,89.7,7.33,yes,tablet,nan,62.2,,51043.0,partial,late enrollment
s0015,16,female,delhi,bba,7.9,70.9,6.89,no,laptop,phd,72.3,,49643.0,no,needs scholarship support
s0016,20,male,mumbai,bba,9.2,52.7,9.0,no,nan,high school,73.0,,69287.0,nan,needs scholarship support
s0017,18,prefer not to say,bengaluru,ee,15.7,62.0,4.02,nan,laptop,nan,77.9,,56258.0,partial,nan
s0018,23,female,remote,mca,15.1,66.8,8.51,no,desktop,undergrad,98.2,2023-04-03,62772.0,nan,prefers evening classes
s0019,19,male,chennai,nan,11.9,83.8,8.7,yes,mobile,phd,65.3,,59625.0,no,needs scholarship support
s0020,17,other,hyderabad,nan,,79.2,4.71,yes,laptop,nan,56.0,2023-06-05,63816.0,no,nan
s0021,28,female,mumbai,mba,18.4,66.4,6.79,no,nan,undergrad,47.3,,,partial,prefers evening classes
s0022,21,male,kolkata,bsc,9.0,104.2,6.75,no,desktop,high school,57.0,,,nan,late enrollment
s0023,22,female,bengaluru,bsc,14.7,81.3,5.51,yes,laptop,phd,67.5,,67970.0,no,transferred from another program
s0024,17,other,hyderabad,bsc,11.0,59.2,6.27,yes,desktop,postgrad,94.9,,,partial,late enrollment
s0025,20,male,chennai,ee,10.9,51.1,5.87,no,tablet,postgrad,60.2,,47547.0,nan,nan
s0026,22,male,hyderabad,nan,17.5,54.2,9.3,nan,desktop,nan,71.4,,56575.0,nan,transferred from another program
s0027,18,female,bengaluru,bsc,,59.8,8.32,yes,laptop,nan,67.8,,72006.0,partial,nan
s0028,23,female,remote,me,16.1,54.6,,no,laptop,phd,-5.0,,66802.0,nan,late enrollment
s0029,120,nan,remote,ece,18.5,56.2,8.07,nan,desktop,nan,,,57211.0,nan,good coder
s0030,21,female,pune,bba,12.1,62.1,5.85,no,tablet,high school,60.0,,57206.0,no,good coder
s0031,20,male,remote,nan,15.4,55.4,6.57,yes,nan,postgrad,60.7,,57427.0,no,late enrollment
s0032,29,male,pune,nan,10.4,98.8,7.79,nan,laptop,nan,83.7,,76614.0,no,needs scholarship support
s0033,22,female,hyderabad,mba,13.6,49.8,5.73,yes,nan,nan,78.2,,,partial,needs scholarship support
s0034,18,male,delhi,ece,11.3,76.5,8.06,yes,tablet,phd,95.7,,,yes,transferred from another program
s0035,25,prefer not to say,kolkata,ee,12.5,69.6,6.91,yes,mobile,postgrad,76.8,,68242.0,nan,transferred from another program
s0036,17,nan,kolkata,bba,15.0,103.9,6.75,yes,laptop,nan,62.6,,61910.0,partial,good coder
s0037,23,female,hyderabad,ee,7.9,51.7,8.05,no,mobile,nan,76.9,,,yes,prefers evening classes
s0038,16,female,mumbai,ee,22.5,68.9,7.73,yes,laptop,phd,84.6,,58429.0,yes,late enrollment
s0039,17,female,mumbai,me,7.0,103.2,6.77,yes,tablet,nan,80.3,,59427.0,partial,prefers evening classes
s0040,23,nan,remote,cs,5.9,96.9,,yes,laptop,high school,75.6,2023-10-05,59702.0,yes,transferred from another program
s0041,25,female,kolkata,cs,17.8,94.0,5.9,yes,mobile,nan,84.0,,65821.0,no,prefers evening classes
s0042,23,male,kolkata,ee,16.0,60.5,7.94,no,tablet,high school,85.5,,60416.0,partial,nan
s0043,22,male,pune,bsc,15.1,55.3,7.91,yes,nan,undergrad,88.7,2024-02-05,65861.0,nan,nan
s0044,21,female,delhi,nan,15.1,85.1,6.83,no,nan,nan,77.7,,59354.0,no,good coder
s0045,16,male,bengaluru,ece,11.9,100.8,7.59,no,mobile,nan,65.5,,60629.0,nan,good coder
s0046,19,male,mumbai,bsc,7.5,78.4,5.7,no,mobile,postgrad,70.2,,44014.0,yes,nan
s0047,20,female,kolkata,mca,12.4,79.3,8.31,no,laptop,undergrad,86.1,,,no,transferred from another program
s0048,26,female,pune,nan,8.6,61.8,6.98,yes,nan,nan,55.7,,62772.0,nan,late enrollment
s0049,23,male,chennai,ee,16.9,91.2,6.57,nan,laptop,high school,73.5,,67984.0,partial,late enrollment
s0050,16,female,pune,mca,11.3,56.2,8.46,no,mobile,phd,62.1,2023-04-03,36830.0,yes,needs scholarship support
s0051,23,female,mumbai,bsc,,64.4,6.35,no,laptop,high school,68.4,,76707.0,nan,nan
s0052,21,female,mumbai,mca,10.4,70.5,5.51,no,tablet,nan,87.2,,58883.0,yes,nan
s0053,19,prefer not to say,pune,ee,14.1,75.5,5.33,no,nan,nan,70.9,,68865.0,nan,nan
s0054,24,male,bengaluru,me,9.2,59.5,7.93,no,tablet,high school,68.7,,51681.0,partial,nan
s0055,26,other,hyderabad,cs,7.9,51.9,5.66,no,laptop,phd,47.6,,,no,late enrollment
s0056,26,male,mumbai,ece,13.2,81.6,9.31,no,laptop,undergrad,79.2,,51573.0,nan,transferred from another program
s0057,19,male,pune,mca,13.2,62.3,4.7,nan,desktop,nan,77.7,,55010.0,yes,good coder
s0058,21,male,kolkata,ee,9.5,79.9,9.24,yes,laptop,postgrad,,,75312.0,partial,late enrollment
s0059,23,female,pune,me,9.6,54.3,7.45,yes,nan,high school,63.4,2024-09-04,58475.0,no,nan
s0060,26,female,delhi,nan,13.2,73.9,7.08,yes,nan,high school,,,61739.0,yes,nan
s0061,20,other,hyderabad,bsc,4.8,77.0,6.55,no,laptop,postgrad,71.7,,66961.0,partial,good coder
s0062,21,nan,chennai,cs,5.0,48.1,7.68,no,laptop,high school,91.7,,63965.0,yes,transferred from another program
s0063,18,male,bengaluru,nan,,65.2,7.15,no,tablet,postgrad,66.6,,61203.0,partial,transferred from another program
s0064,17,other,remote,ee,10.9,53.1,8.52,no,nan,postgrad,72.2,,62920.0,no,transferred from another program
s0065,25,prefer not to say,chennai,ece,13.6,48.8,7.34,yes,laptop,postgrad,77.1,,79227.0,no,nan
s0066,27,female,hyderabad,bsc,19.4,104.4,7.38,no,desktop,phd,70.8,,59539.0,yes,nan
s0067,22,female,hyderabad,me,16.3,64.3,6.76,yes,mobile,undergrad,61.3,,61609.0,partial,late enrollment
s0068,26,nan,nan,bsc,11.2,93.6,7.13,yes,nan,undergrad,70.9,,68405.0,nan,transferred from another program
s0069,23,male,chennai,nan,11.9,60.3,7.57,no,laptop,nan,84.1,,68844.0,no,needs scholarship support
s0070,20,male,kolkata,nan,7.0,85.9,5.15,yes,mobile,phd,52.6,,69496.0,nan,transferred from another program
s0071,23,male,hyderabad,nan,11.9,90.6,5.58,yes,tablet,nan,70.0,2024-04-12,65110.0,nan,transferred from another program
s0072,28,male,pune,mba,10.6,80.7,8.09,yes,desktop,nan,57.5,,50856.0,yes,good coder
s0073,22,male,chennai,bsc,13.6,73.3,7.41,no,nan,undergrad,85.9,,73067.0,yes,prefers evening classes
s0074,28,male,remote,nan,7.9,69.7,6.98,no,mobile,undergrad,45.2,2023-06-04,50829.0,yes,good coder
s0075,16,female,hyderabad,nan,14.6,65.9,7.22,yes,laptop,undergrad,59.6,,62421.0,partial,needs scholarship support
s0076,25,female,pune,mca,19.7,100.8,7.62,yes,mobile,high school,73.7,,53966.0,no,late enrollment
s0077,22,female,kolkata,nan,11.5,94.8,6.55,yes,laptop,nan,91.5,,59487.0,no,needs scholarship support
s0078,21,male,delhi,bsc,14.0,102.9,6.27,no,mobile,phd,67.0,,62630.0,nan,prefers evening classes
s0079,22,male,kolkata,me,15.5,52.5,7.44,no,tablet,nan,59.7,,62571.0,yes,needs scholarship support
s0080,16,male,remote,bsc,10.0,88.9,6.03,yes,mobile,nan,96.2,,,partial,transferred from another program
s0081,21,prefer not to say,hyderabad,bsc,13.1,101.3,7.69,yes,tablet,undergrad,46.3,,72910.0,no,needs scholarship support
s0082,23,female,remote,bba,12.1,55.9,5.16,yes,tablet,phd,35.0,,63628.0,partial,late enrollment
s0083,28,prefer not to say,chennai,ee,12.5,49.0,8.43,no,laptop,nan,74.6,,58047.0,yes,transferred from another program
s0084,20,other,mumbai,bba,8.1,89.5,7.77,yes,laptop,undergrad,60.5,,67713.0,yes,transferred from another program
